001-TIME,002-nPart-Spec-001,003-nPart-Spec-002,004-nPart-Spec-003,005-nPart-Spec-004,006-NumDens-Spec-001,007-NumDens-Spec-002,008-NumDens-Spec-003,009-NumDens-Spec-004,010-Ekin-001,011-Ekin-002,012-Ekin-003,013-Ekin-004
0.0000000000000000E+000,0.0000000000000000E+000,0.1990000000000000E+003,0.1990000000000000E+003,0.3980000000000000E+003,0.9999999999999999E+023,0.9960224768338187E+021,0.9960224768338187E+021,0.1019920449536676E+024,0.0000000000000000E+000,0.6181855060207503E-014,0.6181855060207502E-013,0.6800040566228252E-013
0.1000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.1999000000000000E+004,0.3998000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6209328692210885E-014,0.5757815535595211E-013,0.6378748404816311E-013
0.2000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1011037891057444E+022,0.1020120655059658E+024,0.0000000000000000E+000,0.6209070175743475E-014,0.5746651876278167E-013,0.6367558893852510E-013
0.3000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6209982530191560E-014,0.5414823955820415E-013,0.6035822208839570E-013
0.4000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1011037891057444E+022,0.1020120655059658E+024,0.0000000000000000E+000,0.6208150848638637E-014,0.5824749882905410E-013,0.6445564967769264E-013
0.5000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1005710156192942E+022,0.1020067377711013E+024,0.0000000000000000E+000,0.6206447001612287E-014,0.5748755214440351E-013,0.6369399914601584E-013
0.6000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001098488445549E+022,0.1020021261033539E+024,0.0000000000000000E+000,0.6207578873615281E-014,0.5706938968616394E-013,0.6327696855977918E-013
0.7000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006054748218581E+022,0.1020070823631269E+024,0.0000000000000000E+000,0.6205409648960445E-014,0.5706154421392879E-013,0.6326695386288922E-013
0.8000000000000000E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001030058823436E+022,0.1020020576737318E+024,0.0000000000000000E+000,0.6212953963275874E-014,0.5875602670519582E-013,0.6496898066847176E-013
0.9000000000000001E-008,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1011037891057444E+022,0.1020120655059658E+024,0.0000000000000000E+000,0.6201703797570814E-014,0.5715155414438371E-013,0.6335325794195454E-013
0.1000000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001184025473190E+022,0.1020022116403815E+024,0.0000000000000000E+000,0.6216824018673249E-014,0.5877933213868564E-013,0.6499615615735878E-013
0.1100000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6211702718353177E-014,0.5754209533410495E-013,0.6375379805245831E-013
0.1200000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1016043029131986E+022,0.1020170706440403E+024,0.0000000000000000E+000,0.6212043933895922E-014,0.5486014212652436E-013,0.6107218606042009E-013
0.1300000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6202832387531987E-014,0.5792238128108029E-013,0.6412521366861227E-013
0.1400000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6204981778712210E-014,0.5577784241046930E-013,0.6198282418918172E-013
0.1500000000000001E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.1999000000000000E+004,0.3998000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6211632550047400E-014,0.5934861090610571E-013,0.6556024345615324E-013
0.1600000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6205586499053304E-014,0.5800977371819704E-013,0.6421536021725039E-013
0.1700000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.1999000000000000E+004,0.3998000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1001027614908360E+022,0.1020020552298167E+024,0.0000000000000000E+000,0.6208070285317963E-014,0.5802760970082705E-013,0.6423567998614505E-013
0.1800000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208498643471208E-014,0.5758267922576216E-013,0.6379117786923339E-013
0.1900000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6202776261051739E-014,0.5740793848571266E-013,0.6361071474676438E-013
0.2000000000000000E-007,0.0000000000000000E+000,0.1999000000000000E+004,0.2000000000000000E+004,0.3999000000000000E+004,0.9999999999999999E+023,0.1001027614908360E+022,0.1006032752982902E+022,0.1020070603678912E+024,0.0000000000000000E+000,0.6208887998019014E-014,0.5681824249386998E-013,0.6302713049188905E-013
